StartDateTime,TradeDate,StartDate,StartTime,StartHr,Weekday,WeekdayGroup,Season,WeekdayNum,ISEMBlock,FuelGas,FuelCarbon,DemandForecast_DAM,WindForecast_DAM,NetDemandForecast_DAM,ISEM_DA_Price,GB_DA_N2EX_Price_FC,GB_DAM_N2EX_Price,DAM_Unavailability
22/01/2022 00:00,22/01/2022,22/01/2022,0:00:00,0,Saturday,WE,W,7,ISEM1,1.87,70.341193,4174,806,3368,159.120975,155.49,156.76,228
22/01/2022 00:30,22/01/2022,22/01/2022,0:30:00,0,Saturday,WE,W,7,ISEM1,1.87,70.341193,4029,839,3190,159.120975,155.49,156.76,228
22/01/2022 01:00,22/01/2022,22/01/2022,1:00:00,1,Saturday,WE,W,7,ISEM1,1.87,70.341193,3916,865,3051,155.82075,152.31,151.64,228
22/01/2022 01:30,22/01/2022,22/01/2022,1:30:00,1,Saturday,WE,W,7,ISEM1,1.87,70.341193,3818,882,2936,155.82075,152.31,151.64,228
22/01/2022 02:00,22/01/2022,22/01/2022,2:00:00,2,Saturday,WE,W,7,ISEM1,1.87,70.341193,3732,871,2861,148.98636,149.98,146,228
22/01/2022 02:30,22/01/2022,22/01/2022,2:30:00,2,Saturday,WE,W,7,ISEM1,1.87,70.341193,3658,831,2827,148.98636,149.98,146,228
22/01/2022 03:00,22/01/2022,22/01/2022,3:00:00,3,Saturday,WE,W,7,ISEM1,1.87,70.341193,3602,804,2798,147.81666,146.8,143.64,228
22/01/2022 03:30,22/01/2022,22/01/2022,3:30:00,3,Saturday,WE,W,7,ISEM1,1.87,70.341193,3568,789,2779,147.81666,146.8,143.64,228
22/01/2022 04:00,22/01/2022,22/01/2022,4:00:00,4,Saturday,WE,W,7,ISEM1,1.87,70.341193,3555,779,2776,146.89761,144.19,144.42,228
22/01/2022 04:30,22/01/2022,22/01/2022,4:30:00,4,Saturday,WE,W,7,ISEM1,1.87,70.341193,3546,775,2771,146.89761,144.19,144.42,228
22/01/2022 05:00,22/01/2022,22/01/2022,5:00:00,5,Saturday,WE,W,7,ISEM2,1.87,70.341193,3546,772,2774,145.377,146.28,146.84,228
22/01/2022 05:30,22/01/2022,22/01/2022,5:30:00,5,Saturday,WE,W,7,ISEM2,1.87,70.341193,3592,770,2822,145.377,146.28,146.84,228
22/01/2022 06:00,22/01/2022,22/01/2022,6:00:00,6,Saturday,WE,W,7,ISEM2,1.87,70.341193,3695,791,2904,150.39,152.43,156.92,228
22/01/2022 06:30,22/01/2022,22/01/2022,6:30:00,6,Saturday,WE,W,7,ISEM2,1.87,70.341193,3855,833,3022,150.39,152.43,156.92,228
