,ISEM DA Price
2025-01-20 23:00:00,105.5
2025-01-20 23:30:00,105.5
2025-01-21 00:00:00,104.656
2025-01-21 00:30:00,104.656
2025-01-21 01:00:00,101.22092
2025-01-21 01:30:00,101.22092
2025-01-21 02:00:00,103.812
2025-01-21 02:30:00,103.812
2025-01-21 03:00:00,95.89528
2025-01-21 03:30:00,95.89528
2025-01-21 04:00:00,96.9756
2025-01-21 04:30:00,96.9756
2025-01-21 05:00:00,106.11612
2025-01-21 05:30:00,106.11612
2025-01-21 06:00:00,100.62168
2025-01-21 06:30:00,100.62168
2025-01-21 07:00:00,101.25468
2025-01-21 07:30:00,101.25468
2025-01-21 08:00:00,102.19152
2025-01-21 08:30:00,102.19152
2025-01-21 09:00:00,102.97644
2025-01-21 09:30:00,102.97644
2025-01-21 10:00:00,107.30616
2025-01-21 10:30:00,107.30616
2025-01-21 11:00:00,118.89428
2025-01-21 11:30:00,118.89428
2025-01-21 12:00:00,132.01004
2025-01-21 12:30:00,132.01004
2025-01-21 13:00:00,135.52952
2025-01-21 13:30:00,135.52952
2025-01-21 14:00:00,143.20148
2025-01-21 14:30:00,143.20148
2025-01-21 15:00:00,167.956
2025-01-21 15:30:00,167.956
2025-01-21 16:00:00,206.78
2025-01-21 16:30:00,206.78
2025-01-21 17:00:00,206.78
2025-01-21 17:30:00,206.78
2025-01-21 18:00:00,180.96204
2025-01-21 18:30:00,180.96204
2025-01-21 19:00:00,153.608
2025-01-21 19:30:00,153.608
2025-01-21 20:00:00,140.948
2025-01-21 20:30:00,140.948
2025-01-21 21:00:00,110.45428
2025-01-21 21:30:00,110.45428
2025-01-21 22:00:00,104.24244
2025-01-21 22:30:00,104.24244
