,ISEM DA Forecast
2025-01-18 23:00:00,97.581314
2025-01-18 23:30:00,97.76676
2025-01-19 00:00:00,97.929756
2025-01-19 00:30:00,97.929756
2025-01-19 01:00:00,96.2536
2025-01-19 01:30:00,96.32452
2025-01-19 02:00:00,97.838165
2025-01-19 02:30:00,98.481544
2025-01-19 03:00:00,97.14939
2025-01-19 03:30:00,97.14939
2025-01-19 04:00:00,97.982445
2025-01-19 04:30:00,97.982445
2025-01-19 05:00:00,101.572235
2025-01-19 05:30:00,101.416504
2025-01-19 06:00:00,101.79995
2025-01-19 06:30:00,101.936775
2025-01-19 07:00:00,113.432365
2025-01-19 07:30:00,116.72364
2025-01-19 08:00:00,122.3164
2025-01-19 08:30:00,122.85706
2025-01-19 09:00:00,118.48268
2025-01-19 09:30:00,119.60038
2025-01-19 10:00:00,121.06918
2025-01-19 10:30:00,121.73638
2025-01-19 11:00:00,125.47081
2025-01-19 11:30:00,126.480606
2025-01-19 12:00:00,133.33055
2025-01-19 12:30:00,136.93852
2025-01-19 13:00:00,141.44125
2025-01-19 13:30:00,143.82574
2025-01-19 14:00:00,142.6076
2025-01-19 14:30:00,152.21838
2025-01-19 15:00:00,162.63342
2025-01-19 15:30:00,159.75064
2025-01-19 16:00:00,151.77525
2025-01-19 16:30:00,152.11942
2025-01-19 17:00:00,155.09059
2025-01-19 17:30:00,156.65965
2025-01-19 18:00:00,156.05379
2025-01-19 18:30:00,157.52156
2025-01-19 19:00:00,147.64076
2025-01-19 19:30:00,147.59962
2025-01-19 20:00:00,140.56194
2025-01-19 20:30:00,138.96901
2025-01-19 21:00:00,122.57177
2025-01-19 21:30:00,119.224754
2025-01-19 22:00:00,118.79844
2025-01-19 22:30:00,121.34296
