,ISEM DA Forecast
2025-01-20 23:00:00,105.97627
2025-01-20 23:30:00,105.97627
2025-01-21 00:00:00,112.79536
2025-01-21 00:30:00,112.79536
2025-01-21 01:00:00,116.212036
2025-01-21 01:30:00,116.212036
2025-01-21 02:00:00,115.79167
2025-01-21 02:30:00,115.79167
2025-01-21 03:00:00,113.7236
2025-01-21 03:30:00,113.7236
2025-01-21 04:00:00,116.95371
2025-01-21 04:30:00,116.95371
2025-01-21 05:00:00,124.57512
2025-01-21 05:30:00,124.57512
2025-01-21 06:00:00,129.81375
2025-01-21 06:30:00,129.81375
2025-01-21 07:00:00,157.82224
2025-01-21 07:30:00,157.82224
2025-01-21 08:00:00,157.23235
2025-01-21 08:30:00,157.23235
2025-01-21 09:00:00,148.29547
2025-01-21 09:30:00,148.29547
2025-01-21 10:00:00,143.01814
2025-01-21 10:30:00,143.01814
2025-01-21 11:00:00,141.69038
2025-01-21 11:30:00,141.69038
2025-01-21 12:00:00,142.06258
2025-01-21 12:30:00,142.06258
2025-01-21 13:00:00,140.89482
2025-01-21 13:30:00,140.89482
2025-01-21 14:00:00,141.46431
2025-01-21 14:30:00,141.46431
2025-01-21 15:00:00,146.13683
2025-01-21 15:30:00,146.13683
2025-01-21 16:00:00,152.20525
2025-01-21 16:30:00,152.20525
2025-01-21 17:00:00,147.59268
2025-01-21 17:30:00,147.59268
2025-01-21 18:00:00,142.9691
2025-01-21 18:30:00,142.9691
2025-01-21 19:00:00,124.53512
2025-01-21 19:30:00,124.53512
2025-01-21 20:00:00,121.232956
2025-01-21 20:30:00,121.232956
2025-01-21 21:00:00,116.61014
2025-01-21 21:30:00,116.61014
2025-01-21 22:00:00,105.26045
2025-01-21 22:30:00,105.26045
